Section|Title|Content
[Section 2-204| Formation in General|(1) Acontract for saleofgoodsmay be made in any manner sufficient to showagreement, including conduct by both parties which recognizes the existence of such acontract.(2) Anagreementsufficient to constitute acontract for salemay be found even though the moment of its making is undetermined.(3) Even though one or more terms are left open acontract for saledoes not fail for indefiniteness if the parties have intended to make acontractand there is a reasonably certain basis for giving an appropriate remedy.Section 2-203. Seals Inoperative.UpSection 2-205. Firm Offers.]
[Section 2-205| Firm Offers|An offer by amerchantto buy or sellgoodsin a signed writing which by its terms gives assurance that it will be held open is not revocable, for lack of consideration, during the time stated or if no time is stated for a reasonable time, but in no event may such period of irrevocability exceed three months; but any such term of assurance on a form supplied by the offeree must be separately signed by the offeror.Section 2-204. Formation in General.UpSection 2-206. Offer and Acceptance in Formation of Contract.]
[Section 2-206| Offer and Acceptance in Formation of Contract|(1) Unless otherwise unambiguously indicated by the language or circumstances(a) an offer to make acontractshall be construed as inviting acceptance in any manner and by any medium reasonable in the circumstances;(b) an order or other offer to buygoodsfor prompt or current shipment shall be construed as inviting acceptance either by a prompt promise to ship or by the prompt or current shipment ofconformingor non-conforming goods, but such a shipment of non-conforming goods does not constitute an acceptance if thesellerseasonably notifies thebuyerthat the shipment is offered only as an accommodation to the buyer.(2) Where the beginning of a requested performance is a reasonable mode of acceptance an offeror who is not notified of acceptance within a reasonable time may treat the offer as having lapsed before acceptance.Section 2-205. Firm Offers.UpSection 2-207. Additional Terms in Acceptance or Confirmation.]
[Section 2-207| Additional Terms in Acceptance or Confirmation|(1) A definite and seasonable expression of acceptance or a written confirmation which is sent within a reasonable time operates as an acceptance even though it states terms additional to or different from those offered or agreed upon, unless acceptance is expressly made conditional on assent to the additional or different terms.(2) The additional terms are to be construed as proposals for addition to thecontract.Between merchantssuch terms become part of the contract unless:(a) the offer expressly limits acceptance to the terms of the offer;(b) they materially alter it; or(c) notification of objection to them has already been given or is given within a reasonable time after notice of them is received.(3) Conduct by both parties which recognizes the existence of acontractis sufficient to establish acontract for salealthough the writings of the parties do not otherwise establish a contract. In such case the terms of the particular contract consist of those terms on which the writings of the parties agree, together with any supplementary terms incorporated under any other provisions of this Act.Section 2-206. Offer and Acceptance in Formation of Contract.UpSection 2-208. Course of Performance or Practical Construction.]
[Section 2-208| Course of Performance or Practical Construction|(1) Where thecontract for saleinvolves repeated occasions for performance by either party with knowledge of the nature of the performance and opportunity for objection to it by the other, any course of performance accepted or acquiesced in without objection shall be relevant to determine the meaning of theagreement.(2) The express terms of theagreementand any such course of performance, as well as any course of dealing and usage of trade, shall be construed whenever reasonable as consistent with each other; but when such construction is unreasonable, express terms shall control course of performance and course of performance shall control both course of dealing and usage of trade (Section1-205).(3)Subject to the provisions of the next section on modification and waiver, such course of performance shall be relevant to show a waiver or modification of any term inconsistent with such course of performance.Section 2-207. Additional Terms in Acceptance or Confirmation.UpSection 2-209. Modification, Rescission and Waiver.]
[Section 2-209| Modification, Rescission and Waiver|(1) Anagreementmodifying acontractwithin this Article needs no consideration to be binding.(2) A signedagreementwhich excludes modification or rescission except by a signed writing cannot be otherwise modified or rescinded, but except asbetween merchantssuch a requirement on a form supplied by themerchantmust be separately signed by the other party.(3) The requirements of the statute of frauds section of this Article (Section2-201) must be satisfied if thecontractas modified is within its provisions.(4)Although an attempt at modification or rescission does not satisfy the requirements of subsection (2) or (3) it can operate as a waiver.(5) A party who has made a waiver affecting an executory portion of thecontractmay retract the waiver by reasonable notification received by the other party that strict performance will be required of any term waived, unless the retraction would be unjust in view of a material change of position in reliance on the waiver.Section 2-208. Course of Performance or Practical Construction.UpSection 2-210. Delegation of Performance; Assignment of Rights.]
[Section 2-210| Delegation of Performance; Assignment of Rights|(1) A party may perform his duty through a delegate unless otherwise agreed or unless the other party has a substantial interest in having his original promisor perform or control the acts required by thecontract. No delegation of performance relieves the party delegating of any duty to perform or any liability for breach.(2) Unless otherwise agreed all rights of eithersellerorbuyercan be assigned except where the assignment would materially change the duty of the other party, or increase materially the burden or risk imposed on him by hiscontract, or impair materially his chance of obtaining return performance. A right to damages for breach of the whole contract or a right arising out of the assignor\'s due performance of his entire obligation can be assigned despiteagreementotherwise.(3)Unless the circumstances indicate the contrary a prohibition of assignment of "the contract" is to be construed as barring only the delegation to the assignee of the assignor\'s performance.(4) An assignment of "the contract" or of "all my rights under the contract" or an assignment in similar general terms is an assignment of rights and unless the language or the circumstances (as in an assignment for security) indicate the contrary, it is a delegation of performance of the duties of the assignor and its acceptance by the assignee constitutes a promise by him to perform those duties. This promise is enforceable by either the assignor or the other party to the originalcontract.(5) The other party may treat any assignment which delegates performance as creating reasonable grounds for insecurity and may without prejudice to his rights against the assignor demand assurances from the assignee (Section2-609).Section 2-209. Modification, Rescission and Waiver.UpPART 3. GENERAL OBLIGATION AND CONSTRUCTION OF CONTRACT]
[Section 2-301| General Obligations of Parties|The obligation of theselleris to transfer and deliver and that of thebuyeris to accept and pay in accordance with thecontract.Section 2-328. Sale by Auction.UpSection 2-302. Unconscionable contract or Clause.]
[Section 2-302| Unconscionable contract or Clause|(1) If the court as a matter of law finds thecontractor any clause of the contract to have been unconscionable at the time it was made the court may refuse to enforce the contract, or it may enforce the remainder of the contract without the unconscionable clause, or it may so limit the application of any unconscionable clause as to avoid any unconscionable result.(2) When it is claimed or appears to the court that thecontractor any clause thereof may be unconscionable the parties shall be afforded a reasonable opportunity to present evidence as to its commercial setting, purpose and effect to aid the court in making the determination.Section 2-301. General Obligations of Parties.UpSection 2-303. Allocation or Division of Risks.]
[Section 2-303| Allocation or Division of Risks|Where this Article allocates a risk or a burden as between the parties "unless otherwise agreed", theagreementmay not only shift the allocation but may also divide the risk or burden.Section 2-302. Unconscionable contract or Clause.UpSection 2-304. Price Payable in Money, Goods, Realty, or Otherwise.]
[Section 2-304| Price Payable in Money, Goods, Realty, or Otherwise|(1) The price can be made payable in money or otherwise. If it is payable in whole or in part ingoodseach party is asellerof thegoodswhich he is to transfer.(2) Even though all or part of the price is payable in an interest in realty the transfer of thegoodsand theseller'sobligations with reference to them are subject to this Article, but not the transfer of the interest in realty or the transferor's obligations in connection therewith.Section 2-303. Allocation or Division of Risks.UpSection 2-305. Open Price Term.]
[Section 2-305| Open Price Term|(1) The parties if they so intend can conclude acontract for saleeven though the price is not settled. In such a case the price is a reasonable price at the time for delivery if(a) nothing is said as to price; or(b) the price is left to be agreed by the parties and they fail to agree; or(c) the price is to be fixed in terms of some agreed market or other standard as set or recorded by a third person or agency and it is not so set or recorded.(2) A price to be fixed by theselleror by thebuyermeans a price for him to fix ingood faith.(3) When a price left to be fixed otherwise than byagreementof the parties fails to be fixed through fault of one party the other may at his option treat thecontractas cancelled or himself fix a reasonable price.(4) Where, however, the parties intend not to be bound unless the price be fixed or agreed and it is not fixed or agreed there is nocontract. In such a case thebuyermust return anygoodsalready received or if unable so to do must pay their reasonable value at the time of delivery and thesellermust return any portion of the price paid on account.Section 2-304. Price Payable in Money, Goods, Realty, or Otherwise.UpSection 2-306. Output, Requirements and Exclusive Dealings.]
[Section 2-306| Output, Requirements and Exclusive Dealings|(1) A term which measures the quantity by the output of theselleror the requirements of thebuyermeans such actual output or requirements as may occur ingood faith, except that no quantity unreasonably disproportionate to any stated estimate or in the absence of a stated estimate to any normal or otherwise comparable prior output or requirements may be tendered or demanded.(2) A lawfulagreementby either theselleror thebuyerfor exclusive dealing in the kind ofgoodsconcerned imposes unless otherwise agreed an obligation by the seller to use best efforts to supply the goods and by the buyer to use best efforts to promote theirsale.Section 2-305. Open Price Term.UpSection 2-307. Delivery in Single Lot or Several Lots.]
[Section 2-307| Delivery in Single Lot or Several Lots|Unless otherwise agreed allgoodscalled for by acontract for salemust be tendered in a single delivery and payment is due only on such tender but where the circumstances give either party the right to make or demand delivery inlotsthe price if it can be apportioned may be demanded for each lot.Section 2-306. Output, Requirements and Exclusive Dealings.UpSection 2-308. Absence of Specified Place for Delivery.]
[Section 2-308| Absence of Specified Place for Delivery|Unless otherwise agreed(a) the place for delivery ofgoodsis theseller'splace of business or if he has none his residence; but(b) in acontract for saleof identifiedgoodswhich to the knowledge of the parties at the time of contracting are in some other place, that place is the place for their delivery; and(c) documents of title may be delivered through customary banking channels.Section 2-307. Delivery in Single Lot or Several Lots.UpSection 2-309. Absence of Specific Time Provisions; Notice of Termination.]
[Section 2-309| Absence of Specific Time Provisions; Notice of Termination|(1) The time for shipment or delivery or any other action under acontractif not provided in this Article or agreed upon shall be a reasonable time.(2) Where thecontractprovides for successive performances but is indefinite in duration it is valid for a reasonable time but unless otherwise agreed may be terminated at any time by either party.(3)Terminationof acontractby one party except on the happening of an agreed event requires that reasonable notification be received by the other party and anagreementdispensing with notification is invalid if its operation would be unconscionable.Section 2-308. Absence of Specified Place for Delivery.UpSection 2-310. Open Time for Payment or Running of Credit; Authority to Ship Under Reservation.]
[Section 2-310| Open Time for Payment or Running of Credit; Authority to Ship Under Reservation|Unless otherwise agreed(a) payment is due at the time and place at which thebuyeris to receive thegoodseven though the place of shipment is the place of delivery; and(b) if theselleris authorized to send thegoodshe may ship them under reservation, and may tender the documents of title, but thebuyermay inspect thegoodsafter their arrival before payment is due unless such inspection is inconsistent with the terms of thecontract(Section2-513); and(c) if delivery is authorized and made by way of documents of title otherwise than by subsection (b) then payment is due at the time and place at which thebuyeris to receive the documents regardless of where thegoodsare to be received; and(d) where theselleris required or authorized to ship thegoodson credit the credit period runs from the time of shipment but post-dating the invoice or delaying its dispatch will correspondingly delay the starting of the credit period .Section 2-309. Absence of Specific Time Provisions; Notice of Termination.UpSection 2-311. Options and Cooperation Respecting Performance.]
[Section 2-311| Options and Cooperation Respecting Performance|(1) Anagreementforsalewhich is otherwise sufficiently definite (subsection (3) of Section2-204) to be acontractis not made invalid by the fact that it leaves particulars of performance to be specified by one of the parties. Any such specification must be made ingood faithand within limits set by commercial reasonableness.(2) Unless otherwise agreed specifications relating to assortment of thegoodsare at thebuyer'soption and except as otherwise provided in subsections (1)(c) and (3) of Section2-319specifications or arrangements relating to shipment are at theseller'soption.(3)Where such specification would materially affect the other party's performance but is not seasonably made or where one party's cooperation is necessary to the agreed performance of the other but is not seasonably forthcoming, the other party in addition to all other remedies(a) is excused for any resulting delay in his own performance; and(b) may also either proceed to perform in any reasonable manner or after the time for a material part of his own performance treat the failure to specify or to cooperate as a breach by failure to deliver or accept thegoods.Section 2-310. Open Time for Payment or Running of Credit; Authority to Ship Under Reservation.UpSection 2-312. Warranty of Title and Against Infringement; Buyer's Obligation Against Infringement.]
[Section 2-312| Warranty of Title and Against Infringement; Buyer's Obligation Against Infringement.|(1) Subject to subsection (2) there is in acontract for salea warranty by thesellerthat(a) the title conveyed shall be good, and its transfer rightful; and(b) thegoodsshall be delivered free from any security interest or other lien or encumbrance of which thebuyerat the time of contracting has no knowledge.(2) A warranty under subsection (1) will be excluded or modified only by specific language or by circumstances which give thebuyerreason to know that the person selling does not claim title in himself or that he is purporting to sell only such right or title as he or a third person may have.(3) Unless otherwise agreed asellerwho is amerchantregularly dealing ingoodsof the kind warrants that the goods shall be delivered free of the rightful claim of any third person by way of infringement or the like but abuyerwho furnishes specifications to the seller must hold the seller harmless against any such claim which arises out of compliance with the specifications.Section 2-311. Options and Cooperation Respecting Performance.UpSection 2-313. Express Warranties by Affirmation, Promise, Description, Sample.]
[Section 2-313| Express Warranties by Affirmation, Promise, Description, Sample|(1) Express warranties by thesellerare created as follows:(a) Any affirmation of fact or promise made by thesellerto thebuyerwhich relates to thegoodsand becomes part of the basis of the bargain creates an express warranty that the goods shall conform to the affirmation or promise.(b) Any description of thegoodswhich is made part of the basis of the bargain creates an express warranty that the goods shall conform to the description.(c) Any sample or model which is made part of the basis of the bargain creates an express warranty that the whole of thegoodsshall conform to the sample or model.(2) It is not necessary to the creation of an express warranty that theselleruse formal words such as "warrant" or "guarantee" or that he have a specific intention to make a warranty, but an affirmation merely of the value of thegoodsor a statement purporting to be merely the seller\'s opinion or commendation of the goods does not create a warranty.Section 2-312. Warranty of Title and Against Infringement; Buyer\'s Obligation Against Infringement.UpSection 2-314. Implied Warranty: Merchantability; Usage of Trade.]
[Section 2-314| Implied Warranty: Merchantability; Usage of Trade|(1) Unless excluded or modified (Section2-316), a warranty that thegoodsshall be merchantable is implied in acontractfor theirsaleif theselleris amerchantwith respect to goods of that kind. Under this section the serving for value of food or drink to be consumed either on the premises or elsewhere is a sale.(2)Goodsto be merchantable must be at least such as(a) pass without objection in the trade under thecontractdescription; and(b) in the case of fungiblegoods, are of fair average quality within the description; and(c) are fit for the ordinary purposes for which suchgoodsare used; and(d) run, within the variations permitted by theagreement, of even kind, quality and quantity within each unit and among all units involved; and(e) are adequately contained, packaged, and labeled as theagreementmay require; and(f) conform to the promise or affirmations of fact made on the container or label if any.(3) Unless excluded or modified (Section2-316) other implied warranties may arise from course of dealing or usage of trade.Section 2-313. Express Warranties by Affirmation, Promise, Description, Sample.UpPART 4. TITLE, CREDITORS AND GOOD FAITH PURCHASERS]
[Section 2-315| Implied Warranty: Fitness for Particular Purpose|Where thesellerat the time of contracting has reason to know any particular purpose for which thegoodsare required and that thebuyeris relying on the seller's skill or judgment to select or furnish suitable goods, there is unless excluded or modified under the next section an implied warranty that the goods shall be fit for such purpose.PART 3. GENERAL OBLIGATION AND CONSTRUCTION OF CONTRACTUpSection 2-316. Exclusion or Modification of Warranties.]
[Section 2-316| Exclusion or Modification of Warranties|(1) Words or conduct relevant to the creation of an express warranty and words or conduct tending to negate or limit warranty shall be construed wherever reasonable as consistent with each other; but subject to the provisions of this Article on parol or extrinsic evidence (Section2-202) negation or limitation is inoperative to the extent that such construction is unreasonable.(2)Subject to subsection (3), to exclude or modify the implied warranty of merchantability or any part of it the language must mention merchantability and in case of a writing must be conspicuous, and to exclude or modify any implied warranty of fitness the exclusion must be by a writing and conspicuous. Language to exclude all implied warranties of fitness is sufficient if it states, for example, that "There are no warranties which extend beyond the description on the face hereof."(3)Notwithstanding subsection (2)(a) unless the circumstances indicate otherwise, all implied warranties are excluded by expressions like "as is","with all faults" or other language which in common understanding calls thebuyer\'sattention to the exclusion of warranties and makes plain that there is no implied warranty; and(b) when thebuyerbefore entering into thecontracthas examined thegoodsor the sample or model as fully as he desired or has refused to examine the goods there is no implied warranty with regard to defects which an examination ought in the circumstances to have revealed to him; and(c) an implied warranty can also be excluded or modified by course of dealing or course of performance or usage of trade.(4) Remedies for breach of warranty can be limited in accordance with the provisions of this Article on liquidation or limitation of damages and on contractual modification of remedy (Sections2-718and2-719).Section 2-315. Implied Warranty: Fitness for Particular Purpose.UpSection 2-317. Cumulation and Conflict of Warranties Express or Implied.]
[Section 2-317| Cumulation and Conflict of Warranties Express or Implied|Warranties whether express or implied shall be construed as consistent with each other and as cumulative, but if such construction is unreasonable the intention of the parties shall determine which warranty is dominant. In ascertaining that intention the following rules apply:(a) Exact or technical specifications displace an inconsistent sample or model or general language of description.(b) A sample from an existing bulk displaces inconsistent general language of description.(c) Express warranties displace inconsistent implied warranties other than an implied warranty of fitness for a particular purpose.Section 2-316. Exclusion or Modification of Warranties.UpSection 2-318. Third Party Beneficiaries of Warranties Express or Implied.]
[Section 2-318| Third Party Beneficiaries of Warranties Express or Implied|[Note:If this Act is introduced in the Congress of the United States this section should be omitted. (States to select one alternative.)]Alternative AAseller'swarranty whether express or implied extends to any natural person who is in the family or household of hisbuyeror who is a guest in his home if it is reasonable to expect that such person may use, consume or be affected by thegoodsand who is injured in person by breach of the warranty. A seller may not exclude or limit the operation of this section.Alternative BAseller'swarranty whether express or implied extends to any natural person who may reasonably be expected to use, consume or be affected by thegoodsand who is injured in person by breach of the warranty. A seller may not exclude or limit the operation of this section.Alternative CAseller'swarranty whether express or implied extends to any person who may reasonably be expected to use, consume or be affected by thegoodsand who is injured by breach of the warranty. A seller may not exclude or limit the operation of this section with respect to injury to the person of an individual to whom the warranty extends.[Note:As amended in 1966.]Section 2-317. Cumulation and Conflict of Warranties Express or Implied.UpSection 2-319. F.O.B. and F.A.S. Terms.]
[Section 2-319| F.O.B. and F.A.S. Terms|(1)Unless otherwise agreed the term F.O.B. (which means "free on board") at a named place, even though used only in connection with the stated price, is a delivery term under which(a) when the term is F.O.B. the place of shipment, thesellermust at that place ship thegoodsin the manner provided in this Article (Section2-504) and bear the expense and risk of putting them into the possession of the carrier; or(b) when the term is F.O.B. the place of destination, thesellermust at his own expense and risk transport thegoodsto that place and there tender delivery of them in the manner provided in this Article (Section2-503);(c) when under either (a) or (b) the term is also F.O.B. vessel, car or other vehicle, thesellermust in addition at his own expense and risk load thegoodson board. If the term is F.O.B. vessel thebuyermust name the vessel and in an appropriate case the seller must comply with the provisions of this Article on the form of bill of lading (Section2-323).(2) Unless otherwise agreed the term F.A.S. vessel (which means "free alongside") at a named port, even though used only in connection with the stated price, is a delivery term under which thesellermust(a) at his own expense and risk deliver thegoodsalongside the vessel in the manner usual in that port or on a dock designated and provided by thebuyer; and(b) obtain and tender areceiptfor thegoodsin exchange for which the carrier is under a duty to issue a bill of lading.(3) Unless otherwise agreed in any case falling within subsection (1)(a) or (c) or subsection (2) thebuyermust seasonably give any needed instructions for making delivery, including when the term is F.A.S. or F.O.B. the loading berth of the vessel and in an appropriate case its name and sailing date. Thesellermay treat the failure of needed instructions as a failure of cooperation under this Article (Section2-311). He may also at his option move thegoodsin any reasonable manner preparatory to delivery or shipment.(4) Under the term F.O.B. vessel or F.A.S. unless otherwise agreed thebuyermust make payment against tender of the required documents and thesellermay not tender nor the buyer demand delivery of thegoodsin substitution for the documents.Section 2-318. Third Party Beneficiaries of Warranties Express or Implied.UpSection 2-320. C.I.F. and C. &amp; F. Terms.]
[Section 2-320| C.I.F. and C. & F. Terms|(1) The term C.I.F. means that the price includes in a lump sum the cost of thegoodsand the insurance and freight to the named destination. The term C. & F. or C.F. means that the price so includes cost and freight to the named destination.(2) Unless otherwise agreed and even though used only in connection with the stated price and destination, the term C.I.F. destination or its equivalent requires thesellerat his own expense and risk to(a) put thegoodsinto the possession of a carrier at the port for shipment and obtain a negotiable bill or bills of lading covering the entire transportation to the named destination; and(b) load thegoodsand obtain areceiptfrom the carrier (which may be contained in the bill of lading) showing that the freight has been paid or provided for; and(c) obtain a policy or certificate of insurance, including any war risk insurance, of a kind and on terms then current at the port of shipment in the usual amount, in the currency of thecontract, shown to cover the samegoodscovered by the bill of lading and providing for payment of loss to the order of thebuyeror for the account of whom it may concern; but thesellermay add to the price the amount of the premium for any such war risk insurance; and(d) prepare an invoice of thegoodsand procure any other documents required to effect shipment or to comply with thecontract; and(e) forward and tender with commercial promptness all the documents in due form and with any indorsement necessary to perfect thebuyer\'srights.(3) Unless otherwise agreed the term C. & F. or its equivalent has the same effect and imposes upon thesellerthe same obligations and risks as a C.I.F. term except the obligation as to insurance.(4) Under the term C.I.F. or C. & F. unless otherwise agreed thebuyermust make payment against tender of the required documents and thesellermay not tender nor the buyer demand delivery of thegoodsin substitution for the documents.Section 2-319. F.O.B. and F.A.S. Terms.UpSection 2-321. C.I.F. or C. &amp; F.: "Net Landed Weights"; "Payment on Arrival"; Warranty of Condition on Arrival.]
