Section|Content
Section 372|(1) In Ansehung der Befriedigung aus dem zurückbehaltenen Gegenstande gilt zugunsten des Gläubigers der Schuldner, sofern er bei dem Besitzerwerbe des Gläubigers der Eigentümer des Gegenstandes war, auch weiter als Eigentümer, sofern nicht der Gläubiger weiß, daß der Schuldner nicht mehr Eigentümer ist.(2) Erwirbt ein Dritter nach dem Besitzerwerbe des Gläubigers von dem Schuldner das Eigentum, so muß er ein rechtskräftiges Urteil, das in einem zwischen dem Gläubiger und dem Schuldner wegen Gestattung der Befriedigung geführten Rechtsstreit ergangen ist, gegen sich gelten lassen, sofern nicht der Gläubiger bei dem Eintritte der Rechtshängigkeit gewußt hat, daß der Schuldner nicht mehr Eigentümer war.
Section 373|(1) Ist der Käufer mit der Annahme der Ware im Verzuge, so kann der Verkäufer die Ware auf Gefahr und Kosten des Käufers in einem öffentlichen Lagerhaus oder sonst in sicherer Weise hinterlegen.(2) Er ist ferner befugt, nach vorgängiger Androhung die Ware öffentlich versteigern zu lassen; er kann, wenn die Ware einen Börsen- oder Marktpreis hat, nach vorgängiger Androhung den Verkauf auch aus freier Hand durch einen zu solchen Verkäufen öffentlich ermächtigten Handelsmakler oder durch eine zur öffentlichen Versteigerung befugte Person zum laufenden Preise bewirken. Ist die Ware dem Verderb ausgesetzt und Gefahr im Verzuge, so bedarf es der vorgängigen Androhung nicht; dasselbe gilt, wenn die Androhung aus anderen Gründen untunlich ist.(3) Der Selbsthilfeverkauf erfolgt für Rechnung des säumigen Käufers.(4) Der Verkäufer und der Käufer können bei der öffentlichen Versteigerung mitbieten.(5) Im Falle der öffentlichen Versteigerung hat der Verkäufer dem Käufer die in § 383 Absatz 3 Nummer 1 bis 3 des Bürgerlichen Gesetzbuchs bezeichneten Informationen vorher mitzuteilen; von dem vollzogenen Verkaufe hat er bei jeder Art des Verkaufs dem Käufer unverzüglich Nachricht zu geben. Im Falle der Unterlassung ist er zum Schadensersatze verpflichtet. Die Benachrichtigungen dürfen unterbleiben, wenn sie untunlich sind.
Section 374|Durch die Vorschriften des § 373 werden die Befugnisse nicht berührt, welche dem Verkäufer nach dem Bürgerlichen Gesetzbuche zustehen, wenn der Käufer im Verzuge der Annahme ist.
Section 375|(1) Ist bei dem Kaufe einer beweglichen Sache dem Käufer die nähere Bestimmung über Form, Maß oder ähnliche Verhältnisse vorbehalten, so ist der Käufer verpflichtet, die vorbehaltene Bestimmung zu treffen.(2) Ist der Käufer mit der Erfüllung dieser Verpflichtung in Verzug, so kann der Verkäufer die Bestimmung statt des Käufers vornehmen oder gemäß den §§ 280, 281 des Bürgerlichen Gesetzbuchs Schadensersatz statt der Leistung verlangen oder gemäß § 323 des Bürgerlichen Gesetzbuchs vom Vertrag zurücktreten. Im ersteren Falle hat der Verkäufer die von ihm getroffene Bestimmung dem Käufer mitzuteilen und ihm zugleich eine angemessene Frist zur Vornahme einer anderweitigen Bestimmung zu setzen. Wird eine solche innerhalb der Frist von dem Käufer nicht vorgenommen, so ist die von dem Verkäufer getroffene Bestimmung maßgebend.
Section 376|(1) Ist bedungen, daß die Leistung des einen Teiles genau zu einer festbestimmten Zeit oder innerhalb einer festbestimmten Frist bewirkt werden soll, so kann der andere Teil, wenn die Leistung nicht zu der bestimmten Zeit oder nicht innerhalb der bestimmten Frist erfolgt, von dem Vertrage zurücktreten oder, falls der Schuldner im Verzug ist, statt der Erfüllung Schadensersatz wegen Nichterfüllung verlangen. Erfüllung kann er nur beanspruchen, wenn er sofort nach dem Ablaufe der Zeit oder der Frist dem Gegner anzeigt, daß er auf Erfüllung bestehe.(2) Wird Schadensersatz wegen Nichterfüllung verlangt und hat die Ware einen Börsen- oder Marktpreis, so kann der Unterschied des Kaufpreises und des Börsen- oder Marktpreises zur Zeit und am Orte der geschuldeten Leistung gefordert werden.(3) Das Ergebnis eines anderweit vorgenommenen Verkaufs oder Kaufes kann, falls die Ware einen Börsen- oder Marktpreis hat, dem Ersatzanspruche nur zugrunde gelegt werden, wenn der Verkauf oder Kauf sofort nach dem Ablaufe der bedungenen Leistungszeit oder Leistungsfrist bewirkt ist. Der Verkauf oder Kauf muß, wenn er nicht in öffentlicher Versteigerung geschieht, durch einen zu solchen Verkäufen oder Käufen öffentlich ermächtigten Handelsmakler oder eine zur öffentlichen Versteigerung befugte Person zum laufenden Preise erfolgen.(4) Auf den Verkauf mittels öffentlicher Versteigerung findet die Vorschrift des § 373 Abs. 4 Anwendung. Von dem Verkauf oder Kaufe hat der Gläubiger den Schuldner unverzüglich zu benachrichtigen; im Falle der Unterlassung ist er zum Schadensersatze verpflichtet.
Section 377|(1) Ist der Kauf für beide Teile ein Handelsgeschäft, so hat der Käufer die Ware unverzüglich nach der Ablieferung durch den Verkäufer, soweit dies nach ordnungsmäßigem Geschäftsgange tunlich ist, zu untersuchen und, wenn sich ein Mangel zeigt, dem Verkäufer unverzüglich Anzeige zu machen.(2) Unterläßt der Käufer die Anzeige, so gilt die Ware als genehmigt, es sei denn, daß es sich um einen Mangel handelt, der bei der Untersuchung nicht erkennbar war.(3) Zeigt sich später ein solcher Mangel, so muß die Anzeige unverzüglich nach der Entdeckung gemacht werden; anderenfalls gilt die Ware auch in Ansehung dieses Mangels als genehmigt.(4) Zur Erhaltung der Rechte des Käufers genügt die rechtzeitige Absendung der Anzeige.(5) Hat der Verkäufer den Mangel arglistig verschwiegen, so kann er sich auf diese Vorschriften nicht berufen.
Section 379|(1) Ist der Kauf für beide Teile ein Handelsgeschäft, so ist der Käufer, wenn er die ihm von einem anderen Orte übersendete Ware beanstandet, verpflichtet, für ihre einstweilige Aufbewahrung zu sorgen.(2) Er kann die Ware, wenn sie dem Verderb ausgesetzt und Gefahr im Verzug ist, unter Beobachtung der Vorschriften des § 373 verkaufen lassen.
Section 380|(1) Ist der Kaufpreis nach dem Gewichte der Ware zu berechnen, so kommt das Gewicht der Verpackung (Taragewicht) in Abzug, wenn nicht aus dem Vertrag oder dem Handelsgebrauche des Ortes, an welchem der Verkäufer zu erfüllen hat, sich ein anderes ergibt.(2) Ob und in welcher Höhe das Taragewicht nach einem bestimmten Ansatz oder Verhältnisse statt nach genauer Ausmittelung abzuziehen ist, sowie, ob und wieviel als Gutgewicht zugunsten des Käufers zu berechnen ist oder als Vergütung für schadhafte oder unbrauchbare Teile (Refaktie) gefordert werden kann, bestimmt sich nach dem Vertrag oder dem Handelsgebrauche des Ortes, an welchem der Verkäufer zu erfüllen hat.
Section 381|(1) Die in diesem Abschnitte für den Kauf von Waren getroffenen Vorschriften gelten auch für den Kauf von Wertpapieren.(2) Sie finden auch auf einen Vertrag Anwendung, der die Lieferung herzustellender oder zu erzeugender beweglicher Sachen zum Gegenstand hat.
Section 383|(1) Kommissionär ist, wer es gewerbsmäßig übernimmt, Waren oder Wertpapiere für Rechnung eines anderen (des Kommittenten) in eigenem Namen zu kaufen oder zu verkaufen.(2) Die Vorschriften dieses Abschnittes finden auch Anwendung, wenn das Unternehmen des Kommissionärs nach Art oder Umfang einen in kaufmännischer Weise eingerichteten Geschäftsbetrieb nicht erfordert und die Firma des Unternehmens nicht nach § 2 in das Handelsregister eingetragen ist. In diesem Fall finden in Ansehung des Kommissionsgeschäfts auch die Vorschriften des Ersten Abschnittes des Vierten Buches mit Ausnahme der §§ 348 bis 350 Anwendung.
Section 384|(1) Der Kommissionär ist verpflichtet, das übernommene Geschäft mit der Sorgfalt eines ordentlichen Kaufmanns auszuführen; er hat hierbei das Interesse des Kommittenten wahrzunehmen und dessen Weisungen zu befolgen.(2) Er hat dem Kommittenten die erforderlichen Nachrichten zu geben, insbesondere von der Ausführung der Kommission unverzüglich Anzeige zu machen; er ist verpflichtet, dem Kommittenten über das Geschäft Rechenschaft abzulegen und ihm dasjenige herauszugeben, was er aus der Geschäftsbesorgung erlangt hat.(3) Der Kommissionär haftet dem Kommittenten für die Erfüllung des Geschäfts, wenn er ihm nicht zugleich mit der Anzeige von der Ausführung der Kommission den Dritten namhaft macht, mit dem er das Geschäft abgeschlossen hat.
Section 385|(1) Handelt der Kommissionär nicht gemäß den Weisungen des Kommittenten, so ist er diesem zum Ersatze des Schadens verpflichtet; der Kommittent braucht das Geschäft nicht für seine Rechnung gelten zu lassen.(2) Die Vorschriften des § 665 des Bürgerlichen Gesetzbuchs bleiben unberührt.
